year,pm25,pm10,age_standardized_rate,crude_rate
2004,22.570915860818193,43.60593994631355,20.134234070625123,7.956345106766967
2005,24.899851713811618,46.51103117642492,19.387730101918248,7.284275823340695
2006,23.374102249438717,43.3938132248901,18.839838420504087,7.03779219899688
2007,23.398003741836497,44.734155442955156,16.12773030395495,6.402854614539885
2008,23.70020912443801,46.46946299093346,15.932242034861227,6.5928577482264386
2009,21.553534354872944,42.417250566229214,16.15694721065406,6.736371411804833
2010,20.560931512953204,41.30207165385253,14.956371358396684,6.568742962732083
2011,22.617863853377123,45.32511524534881,15.548393857509598,6.963899984756752
2012,20.933928681765252,41.98965575921825,13.608163175281044,6.549122925241222
2013,21.28316297218822,41.25009259864867,15.464208797057644,7.609689604147604
2014,20.007973660925025,38.97129171963652,14.342720006210989,7.481876066326507
2015,21.559652391171255,39.70190856652651,13.460477372702059,7.2326414334237885
2016,20.126760777102078,37.67909831541356,13.234023276060864,7.352267555349781
2017,20.97915465531501,40.172087139300956,13.764464783571638,7.781255088480379
2018,21.39998261858582,40.46476987685815,13.411561547722275,7.610726330339348
2019,20.43078288364952,38.86317708680061,12.197129114946042,7.274468979214978
2020,18.661521583899088,36.91575565776542,12.279885491894289,7.366350493962097
2021,18.987440607414197,37.10590314615756,10.219669693123288,6.485226116841155
2022,20.86155560646653,41.39812589752211,10.817259806023316,6.8195927978720094
